candidate,n_tokens,rms,absmax,p99,p99.9,p99.99,kurtosis,max_over_rms,top0.01pct_energy,top0.1pct_energy,top0.5pct_energy,top1pct_energy
R1D_DeltaR,8000,0.9999997019767761,5.3757710456848145,2.5474598670005744,3.2297055773735153,3.789041711783357,2.933285713195801,5.37577264778991,0.0012453637571647688,0.004691160204260378,0.01852763734597006,0.033382794728268265
R1DC,8000,0.9999997019767761,6.315457344055176,2.593350410461426,3.3968427257537996,4.307779738138869,3.085235834121704,6.315459226208695,0.0035652780835895284,0.009095797368345562,0.026559874533004475,0.04444876522751784
none,8000,0.9999997019767761,39.59375,2.11328125,7.125,28.65625,240.13418579101562,39.59376179986054,0.18278026292740657,0.3776014877938768,0.4306271244062039,0.4442583277943895
R1_D,8000,0.9999997019767761,11.993555068969727,2.5696973824501033,3.4753649563790034,8.165758932970924,4.257287979125977,11.99355864332874,0.014830927364152443,0.0263160942481044,0.0419725292801082,0.058731038654198396
R1_T_currentRC,8000,0.9999997615814209,5.088602066040039,2.5267169594764685,3.173825272560137,3.703359137177186,2.8859732151031494,5.088603279257603,0.0008984556365112749,0.003144209681572701,0.013929960273415677,0.026403138359267896
Hadamard,8000,0.9999997019767761,5.426342487335205,2.5210354399681076,3.163752079248429,3.693556121373083,2.870713710784912,5.426344104511769,0.000829880148051543,0.003159302732423543,0.01400654789370599,0.026146183713491037
Random_s101,8000,0.9999997019767761,5.582885265350342,2.57126952409744,3.2741313049793384,3.8504038446184854,2.9881982803344727,5.582886929180303,0.001552721732847127,0.005039152836854759,0.021097852232575827,0.037322502027894305
Random_s102,8000,0.9999997019767761,5.412569046020508,2.576000483036035,3.2995841643810557,3.9233856201171875,3.003743886947632,5.412570659092265,0.0015846874849319366,0.005579726763749245,0.022678522600416626,0.03993154292696712
Random_s103,8000,0.9999997019767761,5.6139397621154785,2.5741927671432485,3.2924123244286463,3.8871844293117483,2.995396852493286,5.613941435200403,0.001291592551821931,0.005040658689519464,0.02253280107592839,0.03969735088949639
Random_s1234,8000,0.9999997019767761,5.551786422729492,2.5779109454154874,3.301712763071084,3.9371392726898193,3.0073635578155518,5.551788077291273,0.001854782878933947,0.0061121644132473224,0.023414401040283837,0.040632753376924666
RC_L0_learned,8000,0.9999997615814209,15.233867645263672,2.5712864613532975,3.4578213696479807,7.542146304178157,4.1040873527526855,15.233871277301615,0.008911047518211678,0.022003279939345675,0.03862871530332779,0.056128369081234905
R_combo_c7b,8000,0.9999997615814209,5.595510959625244,2.5813972973823542,3.297522786617286,3.8980762049673743,3.009235382080078,5.5955122936993344,0.0014003444257720845,0.005423606513974525,0.02294866678088385,0.040486182518044596
