candidate,layer,proj,fp_parity_rel,A_only_nmse,W_only_nmse,AW_nmse,interaction_nmse,AW_cosine,AW_sqnr_db,max_abs_err_AW,verdict,n_rows
R1D_DeltaR,0,K,3.193887778252247e-06,0.005764971952885389,0.006929325871169567,0.01283628772944212,0.00014198990538716316,0.993671715259552,18.915605566194998,11.574504852294922,mixed,8000
R1D_DeltaR,0,V,3.651479119071155e-06,0.010884733870625496,0.01227772980928421,0.023433994501829147,0.0002715308219194412,0.9885094165802002,16.30153676309572,5.230130672454834,mixed,8000
R1D_DeltaR,1,K,3.5602215575636365e-06,0.0027510460931807756,0.003490009345114231,0.0063116587698459625,7.060333155095577e-05,0.9968633651733398,21.998564886292506,9.179431915283203,mixed,8000
R1D_DeltaR,1,V,2.4976111490104813e-06,0.013017229735851288,0.014916455373167992,0.028272798284888268,0.00033911317586898804,0.9862141609191895,15.486312053221905,6.005285263061523,mixed,8000
R1D_DeltaR,2,K,2.999450771312695e-06,0.004756194073706865,0.0057020001113414764,0.010576456785202026,0.00011826260015368462,0.994760274887085,19.75659800766084,7.8837432861328125,mixed,8000
R1D_DeltaR,2,V,2.9553523290815065e-06,0.011099809780716896,0.012334859929978848,0.023703522980213165,0.0002688532695174217,0.9883744716644287,16.251871013670925,7.173083305358887,mixed,8000
R1D_DeltaR,3,K,3.185752348144888e-06,0.00503745349124074,0.006230086088180542,0.011394144035875797,0.00012660445645451546,0.9943559169769287,19.43318294832764,9.135178565979004,mixed,8000
R1D_DeltaR,3,V,3.1329370813182322e-06,0.014511684887111187,0.01619049534201622,0.031057793647050858,0.00035561341792345047,0.9848719835281372,15.07829399893544,9.556904792785645,mixed,8000
R1D_DeltaR,4,K,2.8878305329271825e-06,0.00505807576701045,0.006199749652296305,0.011388475075364113,0.0001306496560573578,0.9943660497665405,19.435344243573937,8.16746711730957,mixed,8000
R1D_DeltaR,4,V,3.3322262424917426e-06,0.017933716997504234,0.01946943998336792,0.03788529336452484,0.00048213638365268707,0.9816372394561768,14.215293454450123,9.964250564575195,mixed,8000
R1DC,0,K,3.2878258480195655e-06,0.007153746671974659,0.007736844941973686,0.015071355737745762,0.0001807641237974167,0.9925640821456909,18.218476791426383,11.967510223388672,mixed,8000
R1DC,0,V,3.5578516417444916e-06,0.013481608591973782,0.014480816200375557,0.02830228954553604,0.00033986475318670273,0.9861336946487427,15.48178430314145,5.761348724365234,mixed,8000
