cell,prompt_id,mean_acceptance,acceptance_list,accepted_depths,first_rejection_depths,n_new_tokens,n_cycles,tree_size,exact_match,first_mismatch
T4_D16,91,2.6122,"[1, 5, 2, 1, 4, 2, 5, 3, 3, 1, 2, 1, 6, 2, 2, 3, 5, 3, 2, 1, 3, 4, 5, 1, 2, 3, 1, 3, 1, 2, 1, 3, 2, 2, 3, 3, 5, 2, 1, 2, 3, 1, 2, 2, 5, 3, 3, 4, 2]","[0, 4, 1, 0, 3, 1, 4, 2, 2, 0, 1, 0, 5, 1, 1, 2, 4, 2, 1, 0, 2, 3, 4, 0, 1, 2, 0, 2, 0, 1, 0, 2, 1, 1, 2, 2, 4, 1, 0, 1, 2, 0, 1, 1, 4, 2, 2, 3, 1]","[1, 5, 2, 1, 4, 2, 5, 3, 3, 1, 2, 1, 5, 2, 2, 3, 5, 3, 2, 1, 3, 4, 5, 1, 2, 3, 1, 3, 1, 2, 1, 3, 2, 2, 3, 3, 5, 2, 1, 2, 3, 1, 2, 2, 5, 3, 3, 4, 2]",128,49,26,False,1
T4_D16,92,2.1333,"[1, 2, 3, 3, 3, 3, 3, 1, 1, 4, 1, 1, 2, 2, 2, 1, 3, 3, 1, 2, 4, 4, 3, 1, 3, 3, 2, 4, 1, 3, 1, 3, 3, 1, 1, 3, 1, 3, 3, 1, 3, 1, 1, 2, 1, 2, 3, 1, 2, 2, 3, 1, 4, 3, 1, 1, 1, 3, 1, 2]","[0, 1, 2, 2, 2, 2, 2, 0, 0, 3, 0, 0, 1, 1, 1, 0, 2, 2, 0, 1, 3, 3, 2, 0, 2, 2, 1, 3, 0, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 0, 2, 0, 0, 1, 0, 1, 2, 0, 1, 1, 2, 0, 3, 2, 0, 0, 0, 2, 0, 1]","[1, 2, 3, 3, 3, 3, 3, 1, 1, 4, 1, 1, 2, 2, 2, 1, 3, 3, 1, 2, 4, 4, 3, 1, 3, 3, 2, 4, 1, 3, 1, 3, 3, 1, 1, 3, 1, 3, 3, 1, 3, 1, 1, 2, 1, 2, 3, 1, 2, 2, 3, 1, 4, 3, 1, 1, 1, 3, 1, 2]",128,60,26,False,4
T4_D16,93,3.4595,"[1, 4, 6, 4, 3, 3, 1, 2, 2, 4, 4, 6, 3, 5, 2, 2, 6, 3, 6, 4, 4, 6, 6, 3, 4, 5, 2, 2, 3, 1, 4, 3, 2, 2, 5, 2, 3]","[0, 3, 5, 3, 2, 2, 0, 1, 1, 3, 3, 5, 2, 4, 1, 1, 5, 2, 5, 3, 3, 5, 5, 2, 3, 4, 1, 1, 2, 0, 3, 2, 1, 1, 4, 1, 2]","[1, 4, 5, 4, 3, 3, 1, 2, 2, 4, 4, 5, 3, 5, 2, 2, 5, 3, 5, 4, 4, 5, 5, 3, 4, 5, 2, 2, 3, 1, 4, 3, 2, 2, 5, 2, 3]",128,37,26,False,16
T4_D16,94,3.0714,"[3, 6, 4, 4, 5, 3, 3, 1, 3, 3, 4, 2, 1, 5, 3, 4, 4, 1, 6, 1, 2, 3, 4, 4, 2, 5, 4, 3, 2, 2, 2, 3, 2, 2, 2, 2, 3, 3, 4, 1, 2, 6]","[2, 5, 3, 3, 4, 2, 2, 0, 2, 2, 3, 1, 0, 4, 2, 3, 3, 0, 5, 0, 1, 2, 3, 3, 1, 4, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 3, 0, 1, 5]","[3, 5, 4, 4, 5, 3, 3, 1, 3, 3, 4, 2, 1, 5, 3, 4, 4, 1, 5, 1, 2, 3, 4, 4, 2, 5, 4, 3, 2, 2, 2, 3, 2, 2, 2, 2, 3, 3, 4, 1, 2, 5]",128,42,26,False,11
T4_D16,95,3.119,"[3, 6, 2, 1, 4, 2, 4, 4, 4, 1, 1, 1, 1, 4, 4, 1, 2, 1, 4, 3, 3, 2, 3, 1, 4, 5, 5, 4, 5, 6, 5, 2, 6, 2, 5, 2, 3, 4, 3, 2, 2, 4]","[2, 5, 1, 0, 3, 1, 3, 3, 3, 0, 0, 0, 0, 3, 3, 0, 1, 0, 3, 2, 2, 1, 2, 0, 3, 4, 4, 3, 4, 5, 4, 1, 5, 1, 4, 1, 2, 3, 2, 1, 1, 3]","[3, 5, 2, 1, 4, 2, 4, 4, 4, 1, 1, 1, 1, 4, 4, 1, 2, 1, 4, 3, 3, 2, 3, 1, 4, 5, 5, 4, 5, 5, 5, 2, 5, 2, 5, 2, 3, 4, 3, 2, 2, 4]",128,42,26,False,10
T4_D16,96,3.3947,"[2, 5, 5, 4, 2, 3, 3, 2, 6, 3, 1, 5, 5, 4, 6, 3, 2, 2, 3, 1, 4, 2, 3, 4, 3, 3, 4, 3, 3, 6, 4, 5, 4, 1, 2, 4, 3, 4]","[1, 4, 4, 3, 1, 2, 2, 1, 5, 2, 0, 4, 4, 3, 5, 2, 1, 1, 2, 0, 3, 1, 2, 3, 2, 2, 3, 2, 2, 5, 3, 4, 3, 0, 1, 3, 2, 3]","[2, 5, 5, 4, 2, 3, 3, 2, 5, 3, 1, 5, 5, 4, 5, 3, 2, 2, 3, 1, 4, 2, 3, 4, 3, 3, 4, 3, 3, 5, 4, 5, 4, 1, 2, 4, 3, 4]",128,38,26,False,21
T4_D16,97,3.25,"[1, 5, 6, 3, 4, 2, 4, 4, 3, 4, 4, 4, 2, 3, 3, 3, 2, 2, 3, 4, 5, 4, 3, 2, 2, 3, 2, 5, 1, 3, 3, 2, 4, 4, 3, 4, 2, 4, 4, 4]","[0, 4, 5, 2, 3, 1, 3, 3, 2, 3, 3, 3, 1, 2, 2, 2, 1, 1, 2, 3, 4, 3, 2, 1, 1, 2, 1, 4, 0, 2, 2, 1, 3, 3, 2, 3, 1, 3, 3, 3]","[1, 5, 5, 3, 4, 2, 4, 4, 3, 4, 4, 4, 2, 3, 3, 3, 2, 2, 3, 4, 5, 4, 3, 2, 2, 3, 2, 5, 1, 3, 3, 2, 4, 4, 3, 4, 2, 4, 4, 4]",128,40,26,False,12
T4_D16,98,2.3704,"[3, 3, 2, 1, 2, 3, 2, 2, 1, 3, 2, 4, 4, 3, 3, 3, 5, 4, 2, 1, 1, 1, 3, 1, 3, 2, 4, 3, 1, 1, 3, 2, 2, 3, 4, 2, 2, 2, 5, 1, 1, 3, 4, 1, 2, 3, 1, 2, 1, 3, 2, 2, 2, 2]","[2, 2, 1, 0, 1, 2, 1, 1, 0, 2, 1, 3, 3, 2, 2, 2, 4, 3, 1, 0, 0, 0, 2, 0, 2, 1, 3, 2, 0, 0, 2, 1, 1, 2, 3, 1, 1, 1, 4, 0, 0, 2, 3, 0, 1, 2, 0, 1, 0, 2, 1, 1, 1, 1]","[3, 3, 2, 1, 2, 3, 2, 2, 1, 3, 2, 4, 4, 3, 3, 3, 5, 4, 2, 1, 1, 1, 3, 1, 3, 2, 4, 3, 1, 1, 3, 2, 2, 3, 4, 2, 2, 2, 5, 1, 1, 3, 4, 1, 2, 3, 1, 2, 1, 3, 2, 2, 2, 2]",128,54,26,False,4
T4_D16,99,2.3818,"[1, 3, 1, 3, 1, 1, 3, 3, 3, 5, 3, 1, 4, 1, 1, 2, 3, 5, 2, 2, 5, 4, 1, 1, 1, 3, 1, 1, 3, 2, 1, 4, 3, 4, 1, 2, 4, 1, 1, 1, 3, 3, 4, 2, 3, 2, 2, 1, 1, 4, 2, 2, 2, 3, 5]","[0, 2, 0, 2, 0, 0, 2, 2, 2, 4, 2, 0, 3, 0, 0, 1, 2, 4, 1, 1, 4, 3, 0, 0, 0, 2, 0, 0, 2, 1, 0, 3, 2, 3, 0, 1, 3, 0, 0, 0, 2, 2, 3, 1, 2, 1, 1, 0, 0, 3, 1, 1, 1, 2, 4]","[1, 3, 1, 3, 1, 1, 3, 3, 3, 5, 3, 1, 4, 1, 1, 2, 3, 5, 2, 2, 5, 4, 1, 1, 1, 3, 1, 1, 3, 2, 1, 4, 3, 4, 1, 2, 4, 1, 1, 1, 3, 3, 4, 2, 3, 2, 2, 1, 1, 4, 2, 2, 2, 3, 5]",128,55,26,False,9
T4_D16,100,2.2857,"[1, 2, 1, 3, 1, 3, 2, 4, 3, 1, 1, 1, 3, 1, 6, 5, 2, 1, 3, 4, 3, 3, 2, 1, 3, 2, 3, 2, 1, 1, 1, 1, 2, 2, 6, 6, 3, 1, 2, 3, 1, 2, 1, 4, 1, 3, 1, 2, 2, 1, 3, 3, 3, 2, 2, 1]","[0, 1, 0, 2, 0, 2, 1, 3, 2, 0, 0, 0, 2, 0, 5, 4, 1, 0, 2, 3, 2, 2, 1, 0, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 5, 5, 2, 0, 1, 2, 0, 1, 0, 3, 0, 2, 0, 1, 1, 0, 2, 2, 2, 1, 1, 0]","[1, 2, 1, 3, 1, 3, 2, 4, 3, 1, 1, 1, 3, 1, 5, 5, 2, 1, 3, 4, 3, 3, 2, 1, 3, 2, 3, 2, 1, 1, 1, 1, 2, 2, 5, 5, 3, 1, 2, 3, 1, 2, 1, 4, 1, 3, 1, 2, 2, 1, 3, 3, 3, 2, 2, 1]",128,56,26,False,1
