basis,layer,act_rms,act_absmax,act_p99,act_p999,act_kurtosis,act_a4_zero_ratio,w_rms,w_absmax,w_w4_zero_ratio,contrib_rms,deletion_nmse,branch_q_nmse
orig,1,1.1529650688171387,322.0,0.12890625,0.3984375,68561.484375,0.5887452363967896,0.1417383849620819,2.078125,0.18381863832473755,8.894676208496094,0.1846924126148224,0.04268578439950943
orig,8,1.156828761100769,322.0,0.296875,0.80078125,67651.015625,0.6497883796691895,0.0991545096039772,1.140625,0.14955121278762817,6.283992767333984,0.09218499064445496,0.0566813200712204
orig,15,1.1694107055664062,324.0,0.421875,1.21875,66505.4609375,0.802869439125061,0.11829124391078949,1.0390625,0.1488986611366272,4.549736499786377,0.048323821276426315,0.1252693384885788
orig,22,1.1935198307037354,324.0,0.75390625,2.140625,61293.58984375,0.8249405026435852,0.07634107023477554,0.83984375,0.14705437421798706,3.1459929943084717,0.023104911670088768,0.27023518085479736
orig,29,1.2814536094665527,324.0,1.296875,2.796875,46142.83984375,0.8053667545318604,0.06077662855386734,0.703125,0.150457501411438,3.451756715774536,0.027814365923404694,0.3111591041088104
rot,1,1.1529650688171387,17.195858001708984,5.190423011779785,15.065738677978516,120.5424575805664,0.1849912703037262,0.1417383849620819,0.934767484664917,0.1429879069328308,8.894676208496094,0.1846923828125,0.02850647270679474
rot,8,1.156828761100769,17.31766700744629,5.18607759475708,15.088069915771484,119.0685043334961,0.18540214002132416,0.0991545096039772,1.1749377250671387,0.14276641607284546,6.283993244171143,0.09218496829271317,0.03599481284618378
rot,15,1.1694107055664062,17.359119415283203,5.208672523498535,15.170562744140625,116.8878402709961,0.18048882484436035,0.11829124391078949,0.8810657262802124,0.14288288354873657,4.549736499786377,0.04832381382584572,0.08473599702119827
rot,22,1.1935197114944458,17.14536476135254,5.187263011932373,15.179157257080078,107.5087661743164,0.18106719851493835,0.07634106278419495,0.6454534530639648,0.14298808574676514,3.1459929943084717,0.02310490794479847,0.12398578971624374
rot,29,1.2814536094665527,17.159711837768555,5.228288650512695,15.282144546508789,81.5806884765625,0.17109911143779755,0.06077663227915764,0.6675176024436951,0.14286786317825317,3.451756715774536,0.027814362198114395,0.10611668229103088
