config,dataset,tensor,abs_p50,abs_p75,abs_p90,abs_p95,abs_p99,abs_p99_5,abs_p99_9,abs_p99_99,absmax,absmax_over_rms,channel.absmax_top1,channel.absmax_top10_ids,channel.energy_gini,channel.rms_mean,channel.top0.1pct_energy,channel.top0.5pct_energy,channel.top1pct_energy,channel.top5pct_energy,count_rows,dim,excess_kurtosis,kurtosis,max,mean,mean_abs,median_abs,min,p99_9_over_rms,p99_over_rms,rms,row.absmax.max,row.absmax.mean,row.absmax.median,row.absmax.p90,row.absmax.p95,row.absmax.p99,row.kurt.max,row.kurt.mean,row.kurt.median,row.kurt.p90,row.kurt.p95,row.kurt.p99,row.max.max,row.max.mean,row.max.median,row.max.p90,row.max.p95,row.max.p99,row.min.max,row.min.mean,row.min.median,row.min.p90,row.min.p95,row.min.p99,row.range.max,row.range.mean,row.range.median,row.range.p90,row.range.p95,row.range.p99,row.rms.max,row.rms.mean,row.rms.median,row.rms.p90,row.rms.p95,row.rms.p99,skewness,std
R0,gsm8k,S4_k_stored_ctx_l0,0.6938580870628357,1.3761488497257233,2.128958463668825,2.65500807762146,3.950965387821198,4.89117991924286,9.425897608757472,13.244717371558755,16.42310333251953,12.09176497389071,16.42310333251953,224.0;352.0;992.0;736.0;608.0;96.0;604.0;415.0;31.0;799.0,0.4482306288807313,1.2202684070941956,0.039616114541991425,0.13586845274752193,0.16992104322353174,0.2853967609759897,42995,1024,7.488715033384855,10.488715033384855,15.288473129272461,-0.016672775337236632,0.9547814541247197,0.6938580870628357,-16.42310333251953,6.939963552891337,2.9089596480168813,1.3582056356521415,16.42310333251953,9.373110107089603,9.453544616699219,13.238582992553711,13.87280559539795,14.939460372924783,25.14364978914139,8.972600347391284,7.916232073030852,13.753714805951002,15.235673776011641,18.2994351014914,15.288473129272461,8.191102797764097,8.466483116149902,11.426660537719718,12.079974174499512,13.396499633789062,-3.7397713661193848,-8.89568430402831,-8.179220199584961,-5.433213233947754,-4.778816223144531,-4.410857200622559,30.815340995788574,17.086787101792407,17.151291370391846,24.103986930847167,25.124393463134766,27.025744438171387,1.6466531295035367,1.3480823703805942,1.3931825228090933,1.5364995372324115,1.5618219389123347,1.5971718402686796,-0.2166948190563026,1.3581032977206822
R0,gsm8k,S4_k_stored_draft_l0,0.7306482195854187,1.3071591556072235,1.9521440625190745,2.417431592941284,3.5211565494537354,4.279328680038453,6.5682192745209464,7.2042289558887065,8.461584091186523,6.898648364498645,8.461584091186523,149.0;287.0;31.0;144.0;208.0;528.0;661.0;224.0;592.0;96.0,0.5582899608661809,1.0568270948966885,0.029324741680688146,0.09513593565538588,0.13570619427984432,0.31719966204858335,3600,1024,2.222832639555506,5.222832639555506,8.461584091186523,-0.008686105657784972,0.9266470260735844,0.7306482195854187,-7.701771259307861,5.355006186493925,2.8707651675215433,1.2265568041894919,8.461584091186523,6.799504159026676,6.874148845672607,7.354494094848633,7.488901543617248,8.25001335144043,7.066835894365814,5.216678872853067,5.277710401797017,6.15529300002648,6.355909247537878,6.8973451934826855,8.461584091186523,6.161751116315524,6.131144046783447,6.862577629089355,7.358233404159543,8.25001335144043,-3.6823670864105225,-6.705190264251497,-6.867396354675293,-6.027616834640503,-5.735588383674622,-4.834174637794496,15.226632118225098,12.86694138056702,13.062996864318848,13.904584217071532,14.270275592803955,14.916167545318602,1.3762563915408905,1.2261911935110952,1.2232733830749547,1.263365450536169,1.265339897702509,1.3229461613735949,0.012447995973871202,1.226526047612541
R0,gsm8k,S4_v_stored_ctx_l0,3.125,5.4375,8.125,10.0,14.125,15.8125,19.75,24.75,37.75,7.590125335766206,37.75,36.0;101.0;46.0;64.0;474.0;103.0;115.0;72.0;33.0;80.0,0.2258011534340365,4.867483298334114,0.006324879135069199,0.02388985634395426,0.03791427280065615,0.11700448886907071,42995,1024,0.7938545764494904,3.7938545764494904,37.0,-0.04219838017126664,3.857960763512865,3.125,-37.75,3.970992725334638,2.8400137845747726,4.973567408974706,37.75,20.382697115943714,19.75,24.75,27.625,33.5,6.9808109921957255,3.6836323125688075,3.607903617616818,4.167926943919223,4.327287988402705,5.997078442139208,37.0,18.703910338411443,18.375,22.625,24.125,27.875,-11.8125,-19.22032358413769,-18.5,-15.3125,-14.8125,-13.8125,64.5,37.924233922549135,37.125,45.125,48.75,56.5,6.880006669769269,4.953159004533765,4.959079890914027,5.523003627901335,5.6929143702129315,6.07942770552367,-0.00989582620098542,4.973388389048887
R0,gsm8k,S4_v_stored_draft_l0,2.0,3.53125,5.25,6.40625,8.875,9.8125,11.875,14.875,20.125,6.342256058063942,20.125,932.0;944.0;916.0;38.0;956.0;58.0;950.0;18.0;993.0;296.0,0.22646764679673237,3.109411151149506,0.003086721227793528,0.013823027690048352,0.0260884493813586,0.10900605057896225,3600,1024,0.5643238885835942,3.564323888583594,19.75,0.03960569213222091,2.469406532210867,2.0,-20.125,3.7423250032054316,2.7968955287114277,3.173161066937973,20.125,12.00185763888889,11.875,14.375,15.0625,17.25,4.276522985214636,3.411296403440495,3.373793786311544,3.797955823805439,3.877544571918552,3.94230978874565,19.75,11.380902777777777,11.1875,13.5,14.875,16.75124999999997,-8.0,-10.975243055555556,-11.3125,-8.0,-8.0,-8.0,35.875,22.356145833333333,22.5625,26.3125,27.5625,31.3125,3.863297320720136,3.143299734282192,3.335846452213318,3.580068485253367,3.6574117382863576,3.7164209416698175,0.004388282086879194,3.1729138888223334
R0,gsm8k,S4_k_stored_ctx_l1,0.5279251933097839,1.2932549715042114,2.523252654075623,3.2353871703147887,4.585533986091618,5.1191224455833435,6.584127459526086,10.649879506969425,15.634848594665527,10.964921093522456,15.634848594665527,990.0;222.0;605.0;670.0;93.0;456.0;477.0;798.0;734.0;440.0,0.6554329431544585,1.132452534079981,0.013260446099747436,0.05499873764542865,0.09509662126510408,0.280738583634889,42995,1024,3.493105871149921,6.493105871149921,11.172211647033691,0.021517734322102158,0.9464234266436665,0.5279251933097839,-15.634848594665527,4.617533558209838,3.2158941626281683,1.4258970457983358,15.634848594665527,6.985308487751634,6.255941867828369,10.01882553100586,11.734040260314941,14.759716033935547,33.67405887572566,6.923621121406519,5.165400632276819,12.286601247563194,19.091053831684242,28.27969780937614,11.172211647033691,6.087713724109292,5.891776084899902,7.182945728302002,8.189334487915037,10.029574832916259,-3.853537082672119,-6.712072952875829,-5.9673357009887695,-5.153299808502197,-4.9198689460754395,-4.499078750610352,25.363649368286133,12.79978667698512,11.815121173858643,17.346186637878418,20.499767303466797,23.818428993225098,1.5830046302541994,1.4226286918824689,1.455670463081581,1.5240956775865797,1.537141994983078,1.5539721478634332,-0.0876954623033594,1.4257346780961964
R0,gsm8k,S4_k_stored_draft_l1,0.37154538929462433,1.5301111936569214,2.9002315998077393,3.626343274116516,4.839796509742738,5.217623779773712,6.137512683868408,8.076280849552019,9.567482948303223,6.115948510039956,9.567482948303223,256.0;320.0;844.0;87.0;792.0;986.0;847.0;783.0;211.0;147.0,0.737553202055937,1.091289075108,0.01197690312951976,0.055131526511949705,0.0995091830847877,0.3281020472091464,3600,1024,2.2425182532863364,5.242518253286336,9.4407320022583,0.0024023284265544957,0.983305529878785,0.37154538929462433,-9.567482948303223,3.923363308519238,3.093807055899397,1.5643498195900798,9.567482948303223,6.990777624448141,6.943162679672241,8.056172275543213,8.371208333969117,8.96186406135559,6.126180537109585,5.2395666268599275,5.2250533007838005,5.567412323081286,5.662482865960373,5.8837564339074175,9.4407320022583,6.337447663942973,6.058706521987915,7.761437559127807,8.048859548568725,8.711236915588378,-4.682271480560303,-6.299494522677527,-6.005898714065552,-5.314163780212402,-5.185303997993469,-4.985747919082644,15.74394416809082,12.6369421866205,12.603581666946411,13.776950645446776,14.161608815193174,14.784733915328976,1.6185402083102371,1.5642381548025162,1.566310866883672,1.5859751965838003,1.592293181170335,1.6023007489534389,-0.04350031878141035,1.5643479749945812
R0,gsm8k,S4_v_stored_ctx_l1,3.421875,6.0625,9.0625,11.0625,15.3125,17.0,21.125,28.125037499979953,60.0,10.867413094051154,60.0,870.0;867.0;350.0;836.0;693.0;874.0;858.0;343.0;278.0;333.0,0.16030580757012225,5.460114734879006,0.005791818347389289,0.016396144850849108,0.02704819588460017,0.09636460959898471,42995,1024,0.7037457824750653,3.7037457824750653,52.0,-0.014706304813578685,4.278741752613561,3.421875,-60.0,3.826235026863843,2.773454383377638,5.521093150755826,60.0,20.657788696360043,21.125,27.25,30.25,36.5,10.262490686214582,3.243617840634667,3.177306791624435,3.565202542611633,3.7964368836633637,4.4304027103823085,52.0,19.049292068845215,19.5,24.75,27.0,34.25,-8.0625,-19.167150250029074,-19.75,-10.8125,-9.5625,-8.3125,96.0,38.216442318874286,39.875,49.0,52.0,60.125,7.739257641308689,5.4103704440996365,5.79969911871451,6.422048462328539,6.564727358167599,6.870726374611952,-0.0023976383967334826,5.521073564436687
R0,gsm8k,S4_v_stored_draft_l1,2.03125,3.734375,6.0625,8.0625,12.4375,14.25,17.625,23.000012499993318,31.125,8.166269064529395,31.125,273.0;277.0;747.0;262.0;333.0;337.0;358.0;278.0;741.0;375.0,0.46814628367168265,3.4696935484283875,0.0064515856532517705,0.026321687325013374,0.04880356890503026,0.19303029863162333,3600,1024,2.564897990226748,5.564897990226748,31.125,-0.006456140578051822,2.7758474089197502,2.03125,-29.375,4.624272843769657,3.263227999681425,3.811410052014208,31.125,18.756944444444443,18.25,23.125,24.5,26.75124999999997,10.836937027626448,5.406045785518902,5.212293341247282,6.496032169275916,7.346393480441735,8.548078347290202,31.125,17.22206597222222,16.75,21.625,23.75,26.37624999999997,-7.21875,-17.299878472222222,-17.0,-14.0,-13.1875,-11.436875000000015,55.125,34.52194444444444,34.0,40.75,42.5,48.87624999999997,5.220894233468501,3.790523425010748,3.8656368513590973,4.18392797690769,4.304419973338,4.630532993871567,-0.015270991602883597,3.811404583987875
R0,gsm8k,S4_k_stored_ctx_l2,0.9467438757419586,1.8559439182281494,2.9276118993759157,3.668423974514007,5.185124001502994,5.806981673240664,7.153282156467528,8.490944862365723,11.486627578735352,6.570715899493245,11.486627578735352,759.0;696.0;303.0;751.0;943.0;314.0;1021.0;1003.0;754.0;701.0,0.4744556919505346,1.571799067134217,0.006948932800421697,0.028648192256146843,0.052937028016774176,0.19820975879234567,42995,1024,1.3024798547183618,4.302479854718362,11.486627578735352,-0.05325590764296313,1.290090286612371,0.9467438757419586,-10.059490203857422,4.091904649722903,2.9660556576755295,1.74815465383631,11.486627578735352,7.369495000083969,7.31363582611084,8.44855785369873,8.9371919631958,10.12551498413086,5.970564863113315,4.2451453370300065,4.15139836172843,4.963154129391974,5.221076376876983,5.348437170154995,11.486627578735352,6.921740540472182,6.834397792816162,8.258522033691406,8.824806213378906,10.12551498413086,-4.450382709503174,-6.843579717175408,-6.799219608306885,-5.899454593658448,-5.678919315338135,-5.233229436874394,20.28806495666504,13.76532025764759,13.71597146987915,15.507825374603271,16.06426763534546,17.02775812149048,1.8782986101069647,1.7474543776299736,1.7282612476816828,1.833602474070878,1.860185995836028,1.8779394628321633,-0.05738198866868592,1.7473432696613087
R0,gsm8k,S4_k_stored_draft_l2,1.0615842938423157,1.805609107017517,2.6215172529220583,3.1853830218315125,4.422603626251224,4.912430880069733,5.904713400840817,6.796741962432861,8.285174369812012,5.138900370594337,8.285174369812012,759.0;748.0;384.0;448.0;222.0;606.0;687.0;300.0;861.0;1000.0,0.4918785398547595,1.447333169280347,0.009690597046784143,0.04349113113239404,0.07788004163691317,0.23885849194921321,3600,1024,0.3759407694148984,3.3759407694148984,8.285174369812012,-0.09097061853996234,1.2708435234478035,1.0615842938423157,-8.012502670288086,3.662413430234506,2.743131091693602,1.6122465454324022,8.285174369812012,6.156548197666804,6.094228982925415,6.913848781585693,7.11786687374115,7.529504332542416,4.257872292392015,3.373896430878861,3.348594704992822,3.66354805426853,3.7641968948574633,3.883340972092917,8.285174369812012,5.7315168439017405,5.671575546264648,6.5481603145599365,6.801677250862122,7.3648215198516835,-4.530580520629883,-5.9311386509736375,-5.8798089027404785,-5.251515865325928,-5.094218778610229,-4.834840202331545,15.01960277557373,11.662655494875379,11.592115879058838,12.845592069625855,13.184867334365844,13.742955212593078,1.6700777777925728,1.6121367645031495,1.6136090558066858,1.635342275229483,1.6412793762904734,1.6484400898313032,-0.02359990418573008,1.609678001906335
