ds,prompt,cycle_prefix,layer,arm,K_ctx_nmse,V_ctx_nmse,score_nmse,softmax_kl_mean,softmax_tv_mean,top1_agree,attention_dtype
mtbench,0,58,0,w4a4,0.12357915937900543,0.2313956320285797,0.08507312089204788,0.16012313961982727,0.19215494394302368,0.596875011920929,bf16 (all arms)
mtbench,0,58,0,rc1,0.008208805695176125,0.0188542902469635,0.008821245282888412,0.021108372136950493,0.07277049124240875,0.809374988079071,bf16 (all arms)
mtbench,0,58,1,w4a4,0.1059550940990448,0.30213186144828796,0.10825143754482269,0.41357070207595825,0.26431336998939514,0.706250011920929,bf16 (all arms)
mtbench,0,58,1,rc1,0.005345787387341261,0.026553204283118248,0.07963989675045013,0.29229646921157837,0.1800842583179474,0.809374988079071,bf16 (all arms)
mtbench,0,58,2,w4a4,0.14070530235767365,0.2604261040687561,0.012646057642996311,0.16990141570568085,0.1998663693666458,0.518750011920929,bf16 (all arms)
mtbench,0,58,2,rc1,0.010625730268657207,0.021987471729516983,0.0013883705250918865,0.04038245603442192,0.10392681509256363,0.6812500357627869,bf16 (all arms)
mtbench,0,58,3,w4a4,0.11102258414030075,0.26485565304756165,0.011859958991408348,0.21572785079479218,0.2357371300458908,0.628125011920929,bf16 (all arms)
mtbench,0,58,3,rc1,0.008328200317919254,0.024159599095582962,0.0026990638580173254,0.02337522991001606,0.0706964060664177,0.8968750238418579,bf16 (all arms)
mtbench,0,58,4,w4a4,0.10982910543680191,0.36052972078323364,0.011351967230439186,0.19679884612560272,0.22587914764881134,0.659375011920929,bf16 (all arms)
mtbench,0,58,4,rc1,0.008094821125268936,0.033196594566106796,0.0019729724153876305,0.02103479951620102,0.07012561708688736,0.8968750238418579,bf16 (all arms)
mtbench,0,61,0,w4a4,0.12536999583244324,0.2324964702129364,0.09240612387657166,0.17365358769893646,0.20702020823955536,0.5843750238418579,bf16 (all arms)
mtbench,0,61,0,rc1,0.008343840017914772,0.018904417753219604,0.009493567980825901,0.02240689843893051,0.07559197396039963,0.824999988079071,bf16 (all arms)
mtbench,0,61,1,w4a4,0.10296393185853958,0.3022889792919159,0.06567013263702393,0.2382892370223999,0.21159009635448456,0.721875011920929,bf16 (all arms)
mtbench,0,61,1,rc1,0.005194429773837328,0.026523249223828316,0.03925777226686478,0.15645752847194672,0.13143400847911835,0.840624988079071,bf16 (all arms)
mtbench,0,61,2,w4a4,0.14055636525154114,0.25982245802879333,0.018369454890489578,0.1837415099143982,0.21119442582130432,0.6156250238418579,bf16 (all arms)
mtbench,0,61,2,rc1,0.010577170178294182,0.021866997703909874,0.002230470534414053,0.04277396202087402,0.10133913904428482,0.793749988079071,bf16 (all arms)
mtbench,0,61,3,w4a4,0.11228421330451965,0.2608087658882141,0.012735599651932716,0.17878605425357819,0.21153762936592102,0.715624988079071,bf16 (all arms)
mtbench,0,61,3,rc1,0.00839508417993784,0.023826036602258682,0.0024646823294460773,0.022612327709794044,0.0677371397614479,0.909375011920929,bf16 (all arms)
mtbench,0,61,4,w4a4,0.11112352460622787,0.35710301995277405,0.011100208386778831,0.23074917495250702,0.24513442814350128,0.5718750357627869,bf16 (all arms)
mtbench,0,61,4,rc1,0.008168097585439682,0.032930683344602585,0.0018801104743033648,0.017798161134123802,0.06695540994405746,0.840624988079071,bf16 (all arms)
mtbench,0,594,0,w4a4,0.15799742937088013,0.24543368816375732,0.19569821655750275,0.3681849539279938,0.31882163882255554,0.43437501788139343,bf16 (all arms)
mtbench,0,594,0,rc1,0.010495098307728767,0.019237708300352097,0.012510537169873714,0.025900060310959816,0.08792603015899658,0.8062500357627869,bf16 (all arms)
mtbench,0,594,1,w4a4,0.04743923991918564,0.28271573781967163,0.048121824860572815,0.24127359688282013,0.21662627160549164,0.715624988079071,bf16 (all arms)
mtbench,0,594,1,rc1,0.00254746968857944,0.023147884756326675,0.012469307519495487,0.10815612226724625,0.12520481646060944,0.878125011920929,bf16 (all arms)
mtbench,0,594,2,w4a4,0.13713939487934113,0.23820741474628448,0.04939624294638634,0.22902630269527435,0.24562425911426544,0.4468750059604645,bf16 (all arms)
mtbench,0,594,2,rc1,0.008973836898803711,0.018735971301794052,0.0026352237910032272,0.07713062316179276,0.13967572152614594,0.653124988079071,bf16 (all arms)
mtbench,0,594,3,w4a4,0.13440968096256256,0.26883816719055176,0.04224029555916786,0.27492591738700867,0.2666836678981781,0.5218750238418579,bf16 (all arms)
mtbench,0,594,3,rc1,0.009117398411035538,0.023452702909708023,0.0026377453468739986,0.0407981239259243,0.08994772285223007,0.8843750357627869,bf16 (all arms)
mtbench,0,594,4,w4a4,0.13231207430362701,0.34005314111709595,0.03908492997288704,0.3286387622356415,0.292435884475708,0.550000011920929,bf16 (all arms)
mtbench,0,594,4,rc1,0.008931171149015427,0.029872333630919456,0.0025087567046284676,0.024506842717528343,0.08113428205251694,0.8687500357627869,bf16 (all arms)
mtbench,0,596,0,w4a4,0.15792439877986908,0.24534335732460022,0.19570022821426392,0.36291250586509705,0.3148041367530823,0.37812501192092896,bf16 (all arms)
mtbench,0,596,0,rc1,0.010489498265087605,0.019235247746109962,0.012898983433842659,0.02533097378909588,0.08678187429904938,0.768750011920929,bf16 (all arms)
mtbench,0,596,1,w4a4,0.04740222543478012,0.2826434075832367,0.04516502842307091,0.17510893940925598,0.19129392504692078,0.7406250238418579,bf16 (all arms)
mtbench,0,596,1,rc1,0.0025461027398705482,0.02314022369682789,0.010573992505669594,0.08445169776678085,0.10551875829696655,0.878125011920929,bf16 (all arms)
mtbench,0,596,2,w4a4,0.13715104758739471,0.23821070790290833,0.047678910195827484,0.25862380862236023,0.2532293200492859,0.5375000238418579,bf16 (all arms)
mtbench,0,596,2,rc1,0.008974658325314522,0.018736038357019424,0.0029699646402150393,0.10149767249822617,0.14056888222694397,0.768750011920929,bf16 (all arms)
mtbench,0,596,3,w4a4,0.13441629707813263,0.2688765227794647,0.03488021716475487,0.2845997214317322,0.25749802589416504,0.699999988079071,bf16 (all arms)
mtbench,0,596,3,rc1,0.009118051268160343,0.023459525778889656,0.0027374133933335543,0.05957774445414543,0.09161613881587982,0.878125011920929,bf16 (all arms)
mtbench,0,596,4,w4a4,0.1323295533657074,0.34015968441963196,0.03716181591153145,0.30583521723747253,0.278413861989975,0.6187500357627869,bf16 (all arms)
mtbench,0,596,4,rc1,0.008932553231716156,0.0298817977309227,0.002252487000077963,0.021628636866807938,0.07318507879972458,0.909375011920929,bf16 (all arms)
mtbench,1,82,0,w4a4,0.1506669521331787,0.24358007311820984,0.1360510140657425,0.24288702011108398,0.24651356041431427,0.5062500238418579,bf16 (all arms)
mtbench,1,82,0,rc1,0.010166732594370842,0.019669461995363235,0.013584752567112446,0.03002295270562172,0.08840927481651306,0.690625011920929,bf16 (all arms)
mtbench,1,82,1,w4a4,0.09707261621952057,0.29440197348594666,0.08183036744594574,0.35775643587112427,0.25675320625305176,0.690625011920929,bf16 (all arms)
mtbench,1,82,1,rc1,0.005176502279937267,0.024788040667772293,0.050450656563043594,0.22724226117134094,0.16355398297309875,0.793749988079071,bf16 (all arms)
mtbench,1,82,2,w4a4,0.1395895779132843,0.24224403500556946,0.018785933032631874,0.1774774044752121,0.22029800713062286,0.628125011920929,bf16 (all arms)
mtbench,1,82,2,rc1,0.010202417150139809,0.020319247618317604,0.0014267230872064829,0.04182948172092438,0.10560403019189835,0.7281250357627869,bf16 (all arms)
mtbench,1,82,3,w4a4,0.11434459686279297,0.2668813169002533,0.015357468277215958,0.2335108071565628,0.24522538483142853,0.640625,bf16 (all arms)
