view,out_bin,in_bin,bin_rms
stock,0,0,0.14109499752521515
stock,0,1,0.1430761218070984
stock,0,2,0.14128802716732025
stock,0,3,0.14463172852993011
stock,0,4,0.1442151814699173
stock,0,5,0.14007802307605743
stock,0,6,0.1436474472284317
stock,0,7,0.14189638197422028
stock,0,8,0.14443957805633545
stock,0,9,0.15434089303016663
stock,0,10,0.1422586590051651
stock,0,11,0.14197474718093872
stock,0,12,0.14858658611774445
stock,0,13,0.14244934916496277
stock,0,14,0.13942685723304749
stock,0,15,0.13948722183704376
stock,0,16,0.09865867346525192
stock,0,17,0.09882720559835434
stock,0,18,0.09807049483060837
stock,0,19,0.09885083884000778
stock,0,20,0.09886465966701508
stock,0,21,0.10007260739803314
stock,0,22,0.1004447266459465
stock,0,23,0.09976600855588913
stock,0,24,0.09850605577230453
stock,0,25,0.09899230301380157
stock,0,26,0.09769923985004425
stock,0,27,0.09874210506677628
stock,0,28,0.0994720309972763
stock,0,29,0.09905502200126648
stock,0,30,0.09860724210739136
stock,0,31,0.09892693907022476
stock,0,32,0.11883167922496796
stock,0,33,0.11761854588985443
stock,0,34,0.11778566986322403
stock,0,35,0.11980307847261429
stock,0,36,0.11845196783542633
stock,0,37,0.11975103616714478
stock,0,38,0.11850699037313461
stock,0,39,0.11850167065858841
stock,0,40,0.11853811144828796
stock,0,41,0.11949857324361801
stock,0,42,0.1171298697590828
stock,0,43,0.118217833340168
stock,0,44,0.12024208158254623
stock,0,45,0.11818607896566391
stock,0,46,0.11882466822862625
stock,0,47,0.1182391494512558
stock,0,48,0.0762055441737175
stock,0,49,0.07560013234615326
stock,0,50,0.07677575200796127
stock,0,51,0.07649979740381241
stock,0,52,0.07653111964464188
stock,0,53,0.07655295729637146
stock,0,54,0.07598759979009628
stock,0,55,0.07658758759498596
stock,0,56,0.07620692998170853
stock,0,57,0.07675036787986755
stock,0,58,0.07701262831687927
stock,0,59,0.07653149962425232
stock,0,60,0.07623785734176636
stock,0,61,0.07693257182836533
stock,0,62,0.07704772055149078
stock,0,63,0.07623465359210968
stock,0,64,0.061594825237989426
stock,0,65,0.060815706849098206
stock,0,66,0.060120172798633575
stock,0,67,0.061191435903310776
stock,0,68,0.060924235731363297
stock,0,69,0.06050802767276764
stock,0,70,0.06053585186600685
stock,0,71,0.060424160212278366
stock,0,72,0.06147027388215065
stock,0,73,0.061164431273937225
stock,0,74,0.06032484397292137
stock,0,75,0.06142335757613182
stock,0,76,0.06089721992611885
stock,0,77,0.061562810093164444
stock,0,78,0.06122221052646637
stock,0,79,0.06098725646734238
stock,1,0,0.13746769726276398
stock,1,1,0.1390683948993683
stock,1,2,0.13775405287742615
stock,1,3,0.14025087654590607
stock,1,4,0.14023296535015106
stock,1,5,0.1375146508216858
stock,1,6,0.14075952768325806
stock,1,7,0.1374826580286026
stock,1,8,0.1395183652639389
stock,1,9,0.148543581366539
stock,1,10,0.13960722088813782
stock,1,11,0.13684651255607605
stock,1,12,0.14407439529895782
stock,1,13,0.141188845038414
stock,1,14,0.13622885942459106
stock,1,15,0.13688991963863373
stock,1,16,0.09790226072072983
stock,1,17,0.09820794314146042
stock,1,18,0.09693915396928787
stock,1,19,0.09827106446027756
stock,1,20,0.09762831032276154
stock,1,21,0.09814755618572235
stock,1,22,0.09838087856769562
stock,1,23,0.09805619716644287
stock,1,24,0.09746557474136353
stock,1,25,0.0989699736237526
stock,1,26,0.09683962911367416
stock,1,27,0.09825450927019119
stock,1,28,0.09832923859357834
stock,1,29,0.09872967004776001
stock,1,30,0.09880819916725159
stock,1,31,0.0979943722486496
stock,1,32,0.11909505724906921
stock,1,33,0.11832291632890701
stock,1,34,0.11718156188726425
stock,1,35,0.11747085303068161
stock,1,36,0.11906908452510834
stock,1,37,0.11805196106433868
stock,1,38,0.11828938126564026
stock,1,39,0.11783507466316223
stock,1,40,0.11675360053777695
stock,1,41,0.11780956387519836
stock,1,42,0.11824136972427368
stock,1,43,0.11784300953149796
stock,1,44,0.11882974207401276
stock,1,45,0.11629294604063034
stock,1,46,0.11979281157255173
stock,1,47,0.1180911734700203
stock,1,48,0.07590564340353012
stock,1,49,0.07581128925085068
stock,1,50,0.07648541778326035
stock,1,51,0.07666870206594467
stock,1,52,0.07611304521560669
stock,1,53,0.0766952857375145
stock,1,54,0.07562658190727234
stock,1,55,0.07582982629537582
stock,1,56,0.07554998993873596
stock,1,57,0.07650536298751831
stock,1,58,0.07782071828842163
stock,1,59,0.07659590244293213
stock,1,60,0.07602152228355408
stock,1,61,0.07682693004608154
stock,1,62,0.07644426077604294
stock,1,63,0.0752878487110138
stock,1,64,0.06086059287190437
stock,1,65,0.06080321595072746
stock,1,66,0.059503380209207535
stock,1,67,0.06097668409347534
stock,1,68,0.06107877567410469
stock,1,69,0.05976852402091026
stock,1,70,0.061023905873298645
stock,1,71,0.06028546392917633
stock,1,72,0.060314055532217026
stock,1,73,0.06136539205908775
stock,1,74,0.06008785218000412
stock,1,75,0.060992397367954254
stock,1,76,0.0612809918820858
stock,1,77,0.061124738305807114
stock,1,78,0.06022930145263672
stock,1,79,0.0605158805847168
stock,2,0,0.1385658085346222
stock,2,1,0.13913269340991974
stock,2,2,0.14002422988414764
stock,2,3,0.14308856427669525
stock,2,4,0.14027442038059235
stock,2,5,0.1367480307817459
stock,2,6,0.14198637008666992
stock,2,7,0.14079265296459198
stock,2,8,0.1412503868341446
stock,2,9,0.15050849318504333
stock,2,10,0.13885286450386047
stock,2,11,0.13849087059497833
stock,2,12,0.14299112558364868
stock,2,13,0.14129172265529633
stock,2,14,0.13695457577705383
stock,2,15,0.1379954218864441
stock,2,16,0.09729204326868057
stock,2,17,0.09823776036500931
stock,2,18,0.09790196269750595
stock,2,19,0.0988151878118515
stock,2,20,0.09826907515525818
stock,2,21,0.09923310577869415
stock,2,22,0.09895451366901398
stock,2,23,0.09869974851608276
stock,2,24,0.09850043058395386
stock,2,25,0.0991077870130539
stock,2,26,0.09738202393054962
stock,2,27,0.0994080975651741
stock,2,28,0.09835062175989151
stock,2,29,0.09881406277418137
stock,2,30,0.09988173842430115
stock,2,31,0.09687398374080658
stock,2,32,0.11950801312923431
stock,2,33,0.11867251247167587
stock,2,34,0.11815720796585083
stock,2,35,0.11779465526342392
stock,2,36,0.1177559420466423
stock,2,37,0.11803627014160156
stock,2,38,0.11866580694913864
stock,2,39,0.11754123866558075
stock,2,40,0.11959198862314224
stock,2,41,0.11668039858341217
stock,2,42,0.11656743288040161
stock,2,43,0.11801246553659439
