module,official_sha,inprocess_sha,identical
model.layers.13.mlp.down_proj.module,24f0f3a8d45b03a3,24f0f3a8d45b03a3,True
model.layers.13.mlp.gate_proj,3de22eacd5c45c33,3de22eacd5c45c33,True
model.layers.13.mlp.gate_proj.module,3de22eacd5c45c33,3de22eacd5c45c33,True
model.layers.13.mlp.up_proj,5024f2392b81c33e,5024f2392b81c33e,True
model.layers.13.mlp.up_proj.module,5024f2392b81c33e,5024f2392b81c33e,True
model.layers.13.self_attn.k_proj,34e40c5b5f159cb4,34e40c5b5f159cb4,True
model.layers.13.self_attn.k_proj.module,34e40c5b5f159cb4,34e40c5b5f159cb4,True
model.layers.13.self_attn.o_proj,984327c5c07787cf,984327c5c07787cf,True
model.layers.13.self_attn.o_proj.module,984327c5c07787cf,984327c5c07787cf,True
model.layers.13.self_attn.q_proj,1a89ad01304ef716,1a89ad01304ef716,True
model.layers.13.self_attn.q_proj.module,1a89ad01304ef716,1a89ad01304ef716,True
model.layers.13.self_attn.v_proj,321da7f0e632849b,321da7f0e632849b,True
model.layers.13.self_attn.v_proj.module,321da7f0e632849b,321da7f0e632849b,True
model.layers.14.mlp.down_proj,43441e742aca0e04,43441e742aca0e04,True
model.layers.14.mlp.down_proj.module,43441e742aca0e04,43441e742aca0e04,True
model.layers.14.mlp.gate_proj,117146e73585e527,117146e73585e527,True
model.layers.14.mlp.gate_proj.module,117146e73585e527,117146e73585e527,True
model.layers.14.mlp.up_proj,6ee2f6874ed7063b,6ee2f6874ed7063b,True
model.layers.14.mlp.up_proj.module,6ee2f6874ed7063b,6ee2f6874ed7063b,True
model.layers.14.self_attn.k_proj,5974eaa4c5666deb,5974eaa4c5666deb,True
model.layers.14.self_attn.k_proj.module,5974eaa4c5666deb,5974eaa4c5666deb,True
model.layers.14.self_attn.o_proj,a236f7516967cebd,a236f7516967cebd,True
model.layers.14.self_attn.o_proj.module,a236f7516967cebd,a236f7516967cebd,True
model.layers.14.self_attn.q_proj,4970efffc89e15a3,4970efffc89e15a3,True
model.layers.14.self_attn.q_proj.module,4970efffc89e15a3,4970efffc89e15a3,True
model.layers.14.self_attn.v_proj,63a03c501c5d8c60,63a03c501c5d8c60,True
model.layers.14.self_attn.v_proj.module,63a03c501c5d8c60,63a03c501c5d8c60,True
model.layers.15.mlp.down_proj,19537fff5b31570e,19537fff5b31570e,True
model.layers.15.mlp.down_proj.module,19537fff5b31570e,19537fff5b31570e,True
model.layers.15.mlp.gate_proj,606950c546683941,606950c546683941,True
model.layers.15.mlp.gate_proj.module,606950c546683941,606950c546683941,True
model.layers.15.mlp.up_proj,626eabd8108996f9,626eabd8108996f9,True
model.layers.15.mlp.up_proj.module,626eabd8108996f9,626eabd8108996f9,True
model.layers.15.self_attn.k_proj,ab617b1c8fa81fce,ab617b1c8fa81fce,True
model.layers.15.self_attn.k_proj.module,ab617b1c8fa81fce,ab617b1c8fa81fce,True
model.layers.15.self_attn.o_proj,07e2f88e322cace5,07e2f88e322cace5,True
model.layers.15.self_attn.o_proj.module,07e2f88e322cace5,07e2f88e322cace5,True
model.layers.15.self_attn.q_proj,9aef371bb438e340,9aef371bb438e340,True
model.layers.15.self_attn.q_proj.module,9aef371bb438e340,9aef371bb438e340,True
model.layers.15.self_attn.v_proj,1e4c608a83509d6d,1e4c608a83509d6d,True
model.layers.15.self_attn.v_proj.module,1e4c608a83509d6d,1e4c608a83509d6d,True
model.layers.16.mlp.down_proj,12dc7f318ce5e444,12dc7f318ce5e444,True
model.layers.16.mlp.down_proj.module,12dc7f318ce5e444,12dc7f318ce5e444,True
model.layers.16.mlp.gate_proj,2df39b9ebc102bc9,2df39b9ebc102bc9,True
model.layers.16.mlp.gate_proj.module,2df39b9ebc102bc9,2df39b9ebc102bc9,True
model.layers.16.mlp.up_proj,503c8c67a026c4dc,503c8c67a026c4dc,True
model.layers.16.mlp.up_proj.module,503c8c67a026c4dc,503c8c67a026c4dc,True
model.layers.16.self_attn.k_proj,3430bf523a30ce75,3430bf523a30ce75,True
model.layers.16.self_attn.k_proj.module,3430bf523a30ce75,3430bf523a30ce75,True
model.layers.16.self_attn.o_proj,ba740642e15fb922,ba740642e15fb922,True
model.layers.16.self_attn.o_proj.module,ba740642e15fb922,ba740642e15fb922,True
model.layers.16.self_attn.q_proj,9dd0558b66d42f2c,9dd0558b66d42f2c,True
model.layers.16.self_attn.q_proj.module,9dd0558b66d42f2c,9dd0558b66d42f2c,True
model.layers.16.self_attn.v_proj,9a45fefa6206ea3f,9a45fefa6206ea3f,True
model.layers.16.self_attn.v_proj.module,9a45fefa6206ea3f,9a45fefa6206ea3f,True
model.layers.17.mlp.down_proj,616ce8551a46015d,616ce8551a46015d,True
model.layers.17.mlp.down_proj.module,616ce8551a46015d,616ce8551a46015d,True
model.layers.17.mlp.gate_proj,340929eec0829077,340929eec0829077,True
model.layers.17.mlp.gate_proj.module,340929eec0829077,340929eec0829077,True
model.layers.17.mlp.up_proj,2fc20a906a9dab37,2fc20a906a9dab37,True
model.layers.17.mlp.up_proj.module,2fc20a906a9dab37,2fc20a906a9dab37,True
model.layers.17.self_attn.k_proj,f05023e8a3c1f1a7,f05023e8a3c1f1a7,True
model.layers.17.self_attn.k_proj.module,f05023e8a3c1f1a7,f05023e8a3c1f1a7,True
model.layers.17.self_attn.o_proj,243d4984074747e5,243d4984074747e5,True
model.layers.17.self_attn.o_proj.module,243d4984074747e5,243d4984074747e5,True
model.layers.17.self_attn.q_proj,633bc35ec4bf4032,633bc35ec4bf4032,True
model.layers.17.self_attn.q_proj.module,633bc35ec4bf4032,633bc35ec4bf4032,True
model.layers.17.self_attn.v_proj,a14a01a1cd8772bd,a14a01a1cd8772bd,True
model.layers.17.self_attn.v_proj.module,a14a01a1cd8772bd,a14a01a1cd8772bd,True
model.layers.18.mlp.down_proj,aded0db001d3d268,aded0db001d3d268,True
model.layers.18.mlp.down_proj.module,aded0db001d3d268,aded0db001d3d268,True
model.layers.18.mlp.gate_proj,443b2bdb581a800b,443b2bdb581a800b,True
model.layers.18.mlp.gate_proj.module,443b2bdb581a800b,443b2bdb581a800b,True
model.layers.18.mlp.up_proj,73d22e7be90c3ccd,73d22e7be90c3ccd,True
model.layers.18.mlp.up_proj.module,73d22e7be90c3ccd,73d22e7be90c3ccd,True
model.layers.18.self_attn.k_proj,3db32c982922e160,3db32c982922e160,True
model.layers.18.self_attn.k_proj.module,3db32c982922e160,3db32c982922e160,True
model.layers.18.self_attn.o_proj,af03dc8350f46fab,af03dc8350f46fab,True
model.layers.18.self_attn.o_proj.module,af03dc8350f46fab,af03dc8350f46fab,True
model.layers.18.self_attn.q_proj,af4832fcdeba1414,af4832fcdeba1414,True
model.layers.18.self_attn.q_proj.module,af4832fcdeba1414,af4832fcdeba1414,True
model.layers.18.self_attn.v_proj,23d5bb6943ce5589,23d5bb6943ce5589,True
model.layers.18.self_attn.v_proj.module,23d5bb6943ce5589,23d5bb6943ce5589,True
model.layers.19.mlp.down_proj,ac895e4fc366f044,ac895e4fc366f044,True
model.layers.19.mlp.down_proj.module,ac895e4fc366f044,ac895e4fc366f044,True
model.layers.19.mlp.gate_proj,e96ee5c0ee146ec4,e96ee5c0ee146ec4,True
model.layers.19.mlp.gate_proj.module,e96ee5c0ee146ec4,e96ee5c0ee146ec4,True
model.layers.19.mlp.up_proj,fd65f26c65258379,fd65f26c65258379,True
model.layers.19.mlp.up_proj.module,fd65f26c65258379,fd65f26c65258379,True
model.layers.19.self_attn.k_proj,94cf8b3d87495772,94cf8b3d87495772,True
model.layers.19.self_attn.k_proj.module,94cf8b3d87495772,94cf8b3d87495772,True
model.layers.19.self_attn.o_proj,6d031886cf7212ce,6d031886cf7212ce,True
model.layers.19.self_attn.o_proj.module,6d031886cf7212ce,6d031886cf7212ce,True
model.layers.19.self_attn.q_proj,12894ca2ba8f5f31,12894ca2ba8f5f31,True
model.layers.19.self_attn.q_proj.module,12894ca2ba8f5f31,12894ca2ba8f5f31,True
model.layers.19.self_attn.v_proj,abd8e571983cf7f4,abd8e571983cf7f4,True
model.layers.19.self_attn.v_proj.module,abd8e571983cf7f4,abd8e571983cf7f4,True
model.layers.2.mlp.down_proj,a68b17163562def2,a68b17163562def2,True
model.layers.2.mlp.down_proj.module,a68b17163562def2,a68b17163562def2,True
model.layers.2.mlp.gate_proj,4ede63d176a770b3,4ede63d176a770b3,True
model.layers.2.mlp.gate_proj.module,4ede63d176a770b3,4ede63d176a770b3,True
model.layers.2.mlp.up_proj,91c654bdb66bebb4,91c654bdb66bebb4,True
model.layers.2.mlp.up_proj.module,91c654bdb66bebb4,91c654bdb66bebb4,True
model.layers.2.self_attn.k_proj,9934f39649881168,9934f39649881168,True
model.layers.2.self_attn.k_proj.module,9934f39649881168,9934f39649881168,True
model.layers.2.self_attn.o_proj,59b3e6dff4e3deb1,59b3e6dff4e3deb1,True
model.layers.2.self_attn.o_proj.module,59b3e6dff4e3deb1,59b3e6dff4e3deb1,True
model.layers.2.self_attn.q_proj,03f7d474227e0494,03f7d474227e0494,True
model.layers.2.self_attn.q_proj.module,03f7d474227e0494,03f7d474227e0494,True
model.layers.2.self_attn.v_proj,b81afac47b84db4e,b81afac47b84db4e,True
model.layers.2.self_attn.v_proj.module,b81afac47b84db4e,b81afac47b84db4e,True
model.layers.20.mlp.down_proj,dc1077578bdf6b67,dc1077578bdf6b67,True
model.layers.20.mlp.down_proj.module,dc1077578bdf6b67,dc1077578bdf6b67,True
model.layers.20.mlp.gate_proj,b61dfbbf61537c8d,b61dfbbf61537c8d,True
model.layers.20.mlp.gate_proj.module,b61dfbbf61537c8d,b61dfbbf61537c8d,True
model.layers.20.mlp.up_proj,2ebaf4e66e313aed,2ebaf4e66e313aed,True
model.layers.20.mlp.up_proj.module,2ebaf4e66e313aed,2ebaf4e66e313aed,True
model.layers.20.self_attn.k_proj,ff9456b3df3fff74,ff9456b3df3fff74,True
model.layers.20.self_attn.k_proj.module,ff9456b3df3fff74,ff9456b3df3fff74,True
model.layers.20.self_attn.o_proj,0ccdc0a1ca196728,0ccdc0a1ca196728,True
model.layers.20.self_attn.o_proj.module,0ccdc0a1ca196728,0ccdc0a1ca196728,True
model.layers.20.self_attn.q_proj,14a40091212a31ce,14a40091212a31ce,True
model.layers.20.self_attn.q_proj.module,14a40091212a31ce,14a40091212a31ce,True
model.layers.20.self_attn.v_proj,0f106b957e412ab4,0f106b957e412ab4,True
model.layers.20.self_attn.v_proj.module,0f106b957e412ab4,0f106b957e412ab4,True
model.layers.21.mlp.down_proj,62a01d7faf17ce23,62a01d7faf17ce23,True
model.layers.21.mlp.down_proj.module,62a01d7faf17ce23,62a01d7faf17ce23,True
model.layers.21.mlp.gate_proj,3bf00125655230db,3bf00125655230db,True
model.layers.21.mlp.gate_proj.module,3bf00125655230db,3bf00125655230db,True
model.layers.21.mlp.up_proj,08e6d7a551a5279d,08e6d7a551a5279d,True
model.layers.21.mlp.up_proj.module,08e6d7a551a5279d,08e6d7a551a5279d,True
model.layers.21.self_attn.k_proj,0a908c96c53a271f,0a908c96c53a271f,True
model.layers.21.self_attn.k_proj.module,0a908c96c53a271f,0a908c96c53a271f,True
model.layers.21.self_attn.o_proj,1aa7f27959179582,1aa7f27959179582,True
model.layers.21.self_attn.o_proj.module,1aa7f27959179582,1aa7f27959179582,True
model.layers.21.self_attn.q_proj,0fd277854e11b43c,0fd277854e11b43c,True
model.layers.21.self_attn.q_proj.module,0fd277854e11b43c,0fd277854e11b43c,True
model.layers.21.self_attn.v_proj,52a442d09d54e534,52a442d09d54e534,True
model.layers.21.self_attn.v_proj.module,52a442d09d54e534,52a442d09d54e534,True
model.layers.22.mlp.down_proj,179639bcb62f2f3e,179639bcb62f2f3e,True
model.layers.22.mlp.down_proj.module,179639bcb62f2f3e,179639bcb62f2f3e,True
model.layers.22.mlp.gate_proj,f99b384d24cd9533,f99b384d24cd9533,True
model.layers.22.mlp.gate_proj.module,f99b384d24cd9533,f99b384d24cd9533,True
model.layers.22.mlp.up_proj,f40f852b048d5ac5,f40f852b048d5ac5,True
